INDUSTRY_GROUP,CYCLE_PHASE,CYCLE_ICON,SECTOR_RS,SECTOR_RS_STATUS,RETURN_6M_PCT,NIFTY_6M_PCT,RETURN_1Y_MED,RETURN_3M_MED,RETURN_1M_MED,RETURN_1W_MED,MOMENTUM_MONTHLY_3M,MOMENTUM_MONTHLY_1M,MOMENTUM_ACCELERATION,STOCK_COUNT,CYCLE_NOTE,AS_OF_DATE
Leisure Services,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-18.74,-15.48,-9.66,-2.23,-5.16,-9.66,-4.5,117,Underperforming and still falling (-4.5%/mo delta). Avoid — let correction complete. 3M: -15.5%,2026-03-17
Media,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-12.38,-13.25,-10.65,-0.62,-4.42,-10.65,-6.23,36,Underperforming and still falling (-6.2%/mo delta). Avoid — let correction complete. 3M: -13.2%,2026-03-17
Minerals & Mining,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-11.48,-19.74,-13.16,-2.34,-6.58,-13.16,-6.58,15,Underperforming and still falling (-6.6%/mo delta). Avoid — let correction complete. 3M: -19.7%,2026-03-17
Non - Ferrous Metals,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,21.63,-2.75,-8.6,-3.13,-0.92,-8.6,-7.68,27,Underperforming and still falling (-7.7%/mo delta). Avoid — let correction complete. 3M: -2.8%,2026-03-17
Other Construction Materials,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-16.96,-13.71,-10.46,-1.6,-4.57,-10.46,-5.89,23,Underperforming and still falling (-5.9%/mo delta). Avoid — let correction complete. 3M: -13.7%,2026-03-17
Other Utilities,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-13.45,-17.34,-10.28,0.34,-5.78,-10.28,-4.5,25,Underperforming and still falling (-4.5%/mo delta). Avoid — let correction complete. 3M: -17.3%,2026-03-17
"Paper, Forest & Jute Products",CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-11.17,-12.89,-7.86,-0.23,-4.3,-7.86,-3.56,62,Underperforming and still falling (-3.6%/mo delta). Avoid — let correction complete. 3M: -12.9%,2026-03-17
Personal Products,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,0.8,-9.1,-9.84,-1.27,-3.03,-9.84,-6.81,20,Underperforming and still falling (-6.8%/mo delta). Avoid — let correction complete. 3M: -9.1%,2026-03-17
Petroleum Products,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-12.33,-10.44,-8.22,-1.86,-3.48,-8.22,-4.74,23,Underperforming and still falling (-4.7%/mo delta). Avoid — let correction complete. 3M: -10.4%,2026-03-17
Pharmaceuticals & Biotechnology,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-8.79,-9.26,-6.81,-0.78,-3.09,-6.81,-3.72,222,Underperforming and still falling (-3.7%/mo delta). Avoid — let correction complete. 3M: -9.3%,2026-03-17
Power,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-0.22,-5.52,-6.37,2.01,-1.84,-6.37,-4.53,46,Underperforming and still falling (-4.5%/mo delta). Avoid — let correction complete. 3M: -5.5%,2026-03-17
Printing & Publication,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-14.93,-11.84,-6.22,-3.39,-3.95,-6.22,-2.27,10,Underperforming and still falling (-2.3%/mo delta). Avoid — let correction complete. 3M: -11.8%,2026-03-17
Realty,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-14.82,-15.62,-10.28,-1.32,-5.21,-10.28,-5.07,175,Underperforming and still falling (-5.1%/mo delta). Avoid — let correction complete. 3M: -15.6%,2026-03-17
Telecom -  Equipment & Accessories,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,3.55,-12.81,-8.1,-2.26,-4.27,-8.1,-3.83,15,Underperforming and still falling (-3.8%/mo delta). Avoid — let correction complete. 3M: -12.8%,2026-03-17
Textiles & Apparels,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-14.56,-12.87,-9.72,-0.8,-4.29,-9.72,-5.43,335,Underperforming and still falling (-5.4%/mo delta). Avoid — let correction complete. 3M: -12.9%,2026-03-17
Transport Infrastructure,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,6.01,-11.62,-6.56,-0.95,-3.87,-6.56,-2.69,20,Underperforming and still falling (-2.7%/mo delta). Avoid — let correction complete. 3M: -11.6%,2026-03-17
Transport Services,CORRECTION,📉,0.0,UNDERPERFORMING,0.0,0.0,-16.07,-14.6,-10.42,-0.98,-4.87,-10.42,-5.55,111,Underperforming and still falling (-5.5%/mo delta). Avoid — let correction complete. 3M: -14.6%,2026-03-17
Commercial Services & Supplies,CORRECTION,📉,-6.77,UNDERPERFORMING,-13.39,-6.62,-19.17,-13.65,-8.61,-0.36,-4.55,-8.61,-4.06,374,Underperforming and still falling (-4.1%/mo delta). Avoid — let correction complete. 3M: -13.7%,2026-03-17
